Title,Year,Platform,Metascore,Avg_Userscore
Grand Theft Auto V,2014.0,XboxOne,97.0,7.8
Grand Theft Auto V,2014.0,PlayStation4,97.0,8.3
Grand Theft Auto V,2015.0,PC,96.0,7.7
The Legend of Zelda: Breath of the Wild,2017.0,WiiU,96.0,8.2
The Last of Us Remastered,2014.0,PlayStation4,95.0,9.1
Metal Gear Solid V: The Phantom Pain,2015.0,XboxOne,95.0,7.4
BioShock Infinite,2013.0,PC,94.0,8.6
The Witcher 3: Wild Hunt,2015.0,PC,93.0,9.3
Divinity: Original Sin II,2017.0,PC,93.0,8.4
Super Mario 3D World,2013.0,WiiU,93.0,8.9
Persona 5,2017.0,PlayStation4,93.0,9.1
Persona 4 Golden,2012.0,PlayStationVita,93.0,9.2
Metal Gear Solid V: The Phantom Pain,2015.0,PlayStation4,93.0,8.2
Uncharted 4: A Thief's End,2016.0,PlayStation4,93.0,8.3
INSIDE,2016.0,XboxOne,93.0,8.2
Journey,2015.0,PlayStation4,92.0,8.4
Bloodborne,2015.0,PlayStation4,92.0,8.9
What Remains of Edith Finch,2017.0,XboxOne,92.0,7.4
Undertale,2017.0,PlayStation4,92.0,6.5
The Witcher 3: Wild Hunt,2015.0,PlayStation4,92.0,9.2
Okami HD,2017.0,PC,92.0,7.6
Undertale,2015.0,PC,92.0,8.3
Super Smash Bros. for Wii U,2014.0,WiiU,92.0,9.0
Out of the Park Baseball 17,2016.0,PC,92.0,3.4
The Witcher 3: Wild Hunt - Blood and Wine,2016.0,PC,92.0,9.2
Rayman Legends,2013.0,WiiU,92.0,8.7
Dishonored,2012.0,PC,91.0,8.4
Overwatch,2016.0,PC,91.0,6.7
Bayonetta 2,2014.0,WiiU,91.0,9.0
The Witcher 3: Wild Hunt,2015.0,XboxOne,91.0,9.2
Metal Gear Solid V: The Phantom Pain,2015.0,PC,91.0,7.8
Overwatch,2016.0,XboxOne,91.0,5.8
Forza Horizon 3,2016.0,XboxOne,91.0,8.0
Kentucky Route Zero - Act III,2014.0,PC,91.0,6.6
The Witcher 3: Wild Hunt - Blood and Wine,2016.0,PlayStation4,91.0,8.8
Fez,2013.0,PC,91.0,6.7
INSIDE,2016.0,PlayStation4,91.0,8.3
Mark of the Ninja,2012.0,PC,91.0,8.0
Dark Souls II,2014.0,PC,91.0,7.2
flower,2013.0,PlayStation4,91.0,7.2
Diablo III: Ultimate Evil Edition,2014.0,PlayStation4,90.0,8.0
Overwatch,2016.0,PlayStation4,90.0,6.3
Shovel Knight,2015.0,PlayStation4,90.0,7.6
Spelunky,2013.0,PC,90.0,7.3
The Legend of Zelda: The Wind Waker HD,2013.0,WiiU,90.0,8.9
Rayman Legends,2014.0,PlayStation4,90.0,8.5
Stephen's Sausage Roll,2016.0,PC,90.0,5.5
Velocity 2X,2014.0,PlayStationVita,90.0,7.2
Fez,2014.0,PlayStation4,90.0,6.3
Bayonetta,2017.0,PC,90.0,8.2
NBA 2K17,2016.0,XboxOne,90.0,5.9
Mario Kart 8 DLC Pack 2,2015.0,WiiU,90.0,8.9
Brothers: A Tale of Two Sons,2013.0,PC,90.0,8.6
Dota 2,2013.0,PC,90.0,6.5
Guild Wars 2,2012.0,PC,90.0,8.1
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015.0,PlayStation4,90.0,8.0
The Witcher 3: Wild Hunt - Hearts of Stone,2015.0,PlayStation4,90.0,8.7
Kentucky Route Zero - Act IV,2016.0,PC,90.0,6.2
Guacamelee! Super Turbo Championship Edition,2014.0,WiiU,90.0,7.6
The Witcher 3: Wild Hunt - Hearts of Stone,2015.0,PC,89.0,9.0
