Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
Grand Theft Auto V,2014.0,RockstarNorth,Action Adventure;Modern;Open-World,XboxOne,97.0,7.8,Up to 30 
Grand Theft Auto V,2014.0,RockstarNorth,Action Adventure;Modern;Open-World,PlayStation4,97.0,8.3,Up to 30 
Grand Theft Auto V,2015.0,RockstarNorth,Modern;Action Adventure;Open-World,PC,96.0,7.7,Up to 32 
The Legend of Zelda: Breath of the Wild,2017.0,Nintendo,Fantasy;Fantasy;Action Adventure;Open-World,WiiU,96.0,8.2,No Online Multiplayer
The Last of Us Remastered,2014.0,NaughtyDog,Action Adventure;General;Modern,PlayStation4,95.0,9.1,Up to 8 
Metal Gear Solid V: The Phantom Pain,2015.0,"KojimaProductions,MobyDickStudio",Modern;Modern;Action Adventure;Open-World,XboxOne,95.0,7.4,Up to 16 
BioShock Infinite,2013.0,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,94.0,8.6,No Online Multiplayer
The Witcher 3: Wild Hunt,2015.0,CDProjektRedStudio,Action RPG;Role-Playing;Action RPG,PC,93.0,9.3,No Online Multiplayer
Divinity: Original Sin II,2017.0,LarianStudios,Action RPG;Role-Playing;Western-Style,PC,93.0,8.4,Online Multiplayer
Super Mario 3D World,2013.0,Nintendo,Platformer;3D;Action;Platformer;3D,WiiU,93.0,8.9,No Online Multiplayer
Persona 5,2017.0,Atlus,Role-Playing;Japanese-Style,PlayStation4,93.0,9.1,No Online Multiplayer
Persona 4 Golden,2012.0,Atlus,Role-Playing;Console-style RPG;Console-style RPG;Japanese-Style,PlayStationVita,93.0,9.2,Up to 40 
Metal Gear Solid V: The Phantom Pain,2015.0,"KojimaProductions,MobyDickStudio",Modern;Action Adventure;Modern;Open-World,PlayStation4,93.0,8.2,Up to 16 
Uncharted 4: A Thief's End,2016.0,NaughtyDog,General;Modern;Action Adventure;Linear,PlayStation4,93.0,8.3,Up to 10 
INSIDE,2016.0,PLAYDEAD,Action;Platformer;2D,XboxOne,93.0,8.2,not specified
Journey,2015.0,TrickyPixels,Action;Platformer;3D,PlayStation4,92.0,8.4,2 
Bloodborne,2015.0,FromSoftware,Fantasy;Role-Playing;Action Adventure;General;Action RPG,PlayStation4,92.0,8.9,Up to 5 
