Title,Platform,Userscore,Comment
Grand Theft Auto V,PC,10,Absolutely incredible. It is a great game and runs smooth as butter on my gtx 980 build and also on my Asus gtx 860m laptop (surprisingly) would reccommend to anyone over the console version.
Alan Wake,PC,7,"I originally gave this a 4, because the controls were hard to get used to and the game had severe ammo/weapon limitations.  However, as the plot developed and the game spanned across some beautiful scenery, I became somewhat addicted to this game and I was able to use most of the controls.  Perhaps, I just haven't been exposed to a game where you have to rely so much on a flashlight."
World of Goo,PC,10," World of Goo's innovative game play created a unique game play experience that me laugh, gawk, laugh some more and even a little sad. Once I had beaten the game I considered going through and getting all the ""OCD"" requirements, but about half way through the game I decided I simply wanted to experience Goo again; I promptly removed it and then reinstalled it, and played through the World of Goo's innovative game play created a unique game play experience that me laugh, gawk, laugh some more and even a little sad. Once I had beaten the game I considered going through and getting all the ""OCD"" requirements, but about half way through the game I decided I simply wanted to experience Goo again; I promptly removed it and then reinstalled it, and played through the entire game, again, in one sitting. World of Goo is proof that a game doesn't have to have marvelous graphics, the best multiplayer and matchmaking or even a solid plot line to be considered one of the best modern games. 100% recommended for any age, any player of any experience level."
Dragon's Dogma: Dark Arisen,PC,2,"dont know the hype bout this game.. as all know that every single types of monster only have 2 or 3 moves.. and the worse thing is the monster spams those 3 or 2 skills like drunken monster..this pawn also sometimes do a random attack, coz we only have 3 command which i think that doesnt imbue anything.. im stil playing a single character..and sometimes i got bugged, when idont know the hype bout this game.. as all know that every single types of monster only have 2 or 3 moves.. and the worse thing is the monster spams those 3 or 2 skills like drunken monster..this pawn also sometimes do a random attack, coz we only have 3 command which i think that doesnt imbue anything.. im stil playing a single character..and sometimes i got bugged, when i clinging.. sometimes i got teleported to its hand from its back and sometimes i teleported to its feet from its hand.."
Far Cry 3,PC,9,"(Single Player Review) As a big Far Cry 2 fan, I was happy with this game.  The story and characters are an improvement over FC2, as well as the stealth mechanics.  The wild animals are a great addition, the game formula is basically a three-way war between Pirates, Natives (your side), and Predators.  The amount of random crazy sh*t that can happen keeps the game from getting boring.  The(Single Player Review) As a big Far Cry 2 fan, I was happy with this game.  The story and characters are an improvement over FC2, as well as the stealth mechanics.  The wild animals are a great addition, the game formula is basically a three-way war between Pirates, Natives (your side), and Predators.  The amount of random crazy sh*t that can happen keeps the game from getting boring.  The biggest downside is that the game is too easy, especially if your the stealthy, careful type.  Fortunately there are mods, the most well-known of which is Ziggys mod, which make the mechanics, especially the HUD, more challenging, and I highly recommend it for a second playthrough.  If you liked Far Cry 2, you will probably like this game."
Battlefield 3,PC,10,"great game single player amazing, multiplayer also amazing. so much better than the beta this is a great game and i think dice have really outdone themselves"
Diablo III,PC,1,"Welcome to the WOW generation Diablo. Gear is everything, market is everything, better you go to the AH and give your 15% to Blizzard. No attributes selection, respeccable skills, you are a dumb guy, aren't you? 4 for the MUSIC. The rest is crap."
Grand Theft Auto III,PC,10,"Que maravilla lo que significo GTA3  para el mundo de los videojuegos, si bien sigue la estela de lo que fue Driver 2 en su momento mas la historia y diversión que llevan de GTA2 acá se obtiene un formula mágica que convirtió a Rockstar Games en la grande que es el dia de hoy. Claude Speed es un criminal mudo de poca monta que con lazos de figuras oscuras como la mafia italiana, los yakuzaQue maravilla lo que significo GTA3  para el mundo de los videojuegos, si bien sigue la estela de lo que fue Driver 2 en su momento mas la historia y diversión que llevan de GTA2 acá se obtiene un formula mágica que convirtió a Rockstar Games en la grande que es el dia de hoy. Claude Speed es un criminal mudo de poca monta que con lazos de figuras oscuras como la mafia italiana, los yakuza termina de lleno en una red de narcotráfico y sicariato. es la búsqueda de un criminal de venganza por una gran traición. mítico... aun no olvido aquella primera escena al subirse junto 8BALL en aquel Kuruma Turquesa... grande"
Assassin's Creed: Brotherhood,PC,9,Game:  Assassin's Creed BrotherhoodGenre:  ActionDeveloper:  UbisoftSystem:  Steam (PC)Total Score: 92/100Value Score: 9.2/10• Story:  10/10• Characters: 10/10• GamePlay:  10/10• Graphics:  9/10• Sound: 10/10• Music:  9/10• Length: 6/10• Replay Value: 8/10• Player Value: 10/10Pros+Retains similar gameplay style to AC2 however adds many new elements toGame:  Assassin's Creed BrotherhoodGenre:  ActionDeveloper:  UbisoftSystem:  Steam (PC)Total Score: 92/100Value Score: 9.2/10• Story:  10/10• Characters: 10/10• GamePlay:  10/10• Graphics:  9/10• Sound: 10/10• Music:  9/10• Length: 6/10• Replay Value: 8/10• Player Value: 10/10Pros+Retains similar gameplay style to AC2 however adds many new elements to combat and item system+A lot of new type of missions and scenarios that add more to the sidequest portion of the game+Making money and increasing the economy now affects the entire city of Rome and is done differently from the previous game+More storyline  and gameplay involvement with Desmond+Battles are much more bigger and more dynamic+Recruit Assassins to assist you in battles or even to partake in their own exclusive missions+Multiplayer Mode that comes with co-op and Free For All PvP Style+Gain the ability to redo missions and memories unlike the last game+Improved soundtrackCons-The game is much shorter than AC2-The game mainly takes place in one region/City
Dragon Age: Inquisition,PC,10,"Hi there,I created an account just to say I'm shocked how many low user scores there are.Bioware, just do not listen to them! This game is glorious, brilliant. I can only agree that controls could be little better - but the rest is just perfect.I don't know where you guys getting technical issues. I5 2500K, 16gb ram, r9 280x toxic and zero problems here with ultra settings in fullHi there,I created an account just to say I'm shocked how many low user scores there are.Bioware, just do not listen to them! This game is glorious, brilliant. I can only agree that controls could be little better - but the rest is just perfect.I don't know where you guys getting technical issues. I5 2500K, 16gb ram, r9 280x toxic and zero problems here with ultra settings in full hd.The story is awesome, characters also. World is large, you can do tons of stuff there. DA Inquisition is a rare gem among many short not worth giving a sh** games - please Bioware, keep the good work, don't give up.I'm 32 years old gamer, raised on Eye of the Beholder or Dungeon Master and I find DA:I fitting me very well.With love,B."
