Title,Platform,Userscore,Comment
The Last Guardian,PlayStation4,2,"Dear Team IcoYou had EIGHT YEARS to optimise a game that was originally designed for the PLAYSTATION THREE!Hell the visuals still look like a PS3 game, and yet the framerate keeps hitting sub 20fps on the PLAYSTATION FOUR!I wanted to really like this game but this is simply unacceptable. I can look past the dated visuals but not when the game is running this poorly."
Uncharted 4: A Thief's End,PlayStation4,5,"When I learnt that Amy Hennig was replaced by Neil Druckmann during the development of Uncharted 4, I feared the worst. A globe trotting adventure filled with wonder, mystery and excitement like Indiana Jones was going to turn into a chase movie called National Treasure. Yes, some of the action sequences were very well crafted and amazing to play through. Uncharted 4 was the mostWhen I learnt that Amy Hennig was replaced by Neil Druckmann during the development of Uncharted 4, I feared the worst. A globe trotting adventure filled with wonder, mystery and excitement like Indiana Jones was going to turn into a chase movie called National Treasure. Yes, some of the action sequences were very well crafted and amazing to play through. Uncharted 4 was the most technically polished installment and a sight to behold in the whole franchise. However, it was the pacing of the story in the third act that dragged it down like a 4x4 jeep struggling through thick mud.The problem was the developers were trying to duplicate their success in The Last of Us. They tried to make it more gritty and realistic, this sucked out the wonder and discovery that were the hallmarks of the series. Think of a Survivor Island type reality show where ordinary people were at each other's throats for a shot at fame and fortune. Nothing more, nothing less. No wonder, no mystery.The third act was filled with repetitive environmental puzzles and endless CoD inspired battles of A.I. grenade spamming and cheap enemy sniper kills. The end of the story was nearly in sight, but it felt like the developers were trying to prolong the playtime and it felt like a slog.If you are long time fan of the Uncharted series and you are a completionist, Uncharted 4 still entertains as it does have its moments. However, it is a beautiful view with an empty hole in the ground where the hear and soul of the series has been long dug out."
God of War,PlayStation4,10,"Muy buen juego en general, su historia, gráficos, jugabilidad, la expresión facial y corporal de los personajes y sus personalidades muy bien definidas y desatolladas, un juego bastante mas maduro que las entregas anteriores... Los contras a mi pareces son pocos, quizás no me cierra mucho el mapa, tendría que haber mas armas y tendrían que ser un poco mas violentos los movimientos en laMuy buen juego en general, su historia, gráficos, jugabilidad, la expresión facial y corporal de los personajes y sus personalidades muy bien definidas y desatolladas, un juego bastante mas maduro que las entregas anteriores... Los contras a mi pareces son pocos, quizás no me cierra mucho el mapa, tendría que haber mas armas y tendrían que ser un poco mas violentos los movimientos en la pelea y por ultimo, me gustaría que salte, no es algo que sea fundamental para la jugabilidad general del juego, pero le otorgaría mas realismo a la totalidad del juego... En fin, es un juego que da placer al jugarlo y voy a esperar con ansias futuras entregas... Soy feliz al existir en estos tiempos de avances tecnológicos, donde puedo disfrutar de este tipo de obras de arte videojugables!!! Gracias a Estudios Santa Monoica por semejante creación y Gracias a Sony por crear la Playstation 4 pro!!! Me hicieron muy feliz!!!"
Skylanders SuperChargers,PlayStation4,3,"Skylanders Superchargers is the fifth installment of the Skylanders franchise that I forced myself to finish because the sixth one is out.And I regret it.The gimmick is vehicles, and it's a pretty stupid gimmick. You need a land, sea, and air vehicle to experience everything the game has to offer, but the game only comes with a land vehicle. I didn't buy any additional toysSkylanders Superchargers is the fifth installment of the Skylanders franchise that I forced myself to finish because the sixth one is out.And I regret it.The gimmick is vehicles, and it's a pretty stupid gimmick. You need a land, sea, and air vehicle to experience everything the game has to offer, but the game only comes with a land vehicle. I didn't buy any additional toys (because I have far too many kicking around as is) so I didn't get to experience two thirds of the vehicle segments. that angered me at first, but the ones I could play were fairly generic and bland, so maybe it's not such a bad thing that I got to avoid most of them.Battle mode is absent yet again, as is it's former replacement, the Kaos Challenge thing from Trap Team. The little rhythm minigame is gone too, but I don't think it was ever the most popular addition. I barely even remember the plot, even though I finished the game just last week, so it couldn't have been great. Your collection of traps from Trap Team is usable, but they only serve as weapons for your vehicle. I stopped using them halfway through because they barely made a difference.The traditional Skylanders gameplay is pretty much unchanged, so there's that. There's also an online mode, but I couldn't get it to work. The game is still backwards compatible with old figures, so your existing collection should carry over just fine.Overall, very disappointing. I'd avoid it if at all possible."
Salt and Sanctuary,PlayStation4,10,"I absolutely loved this game. Metroidvanias are my favorite kind of games, and I also love the Souls series and Bloodborne, so this game seemed right up my alley. I was a bit worried that it would just be a souls rip-off with light Metroidvania elements, but it's not at all. It's just as satisfying as a Souls game, probably not as hard, but still a decent challenge, which is rare inI absolutely loved this game. Metroidvanias are my favorite kind of games, and I also love the Souls series and Bloodborne, so this game seemed right up my alley. I was a bit worried that it would just be a souls rip-off with light Metroidvania elements, but it's not at all. It's just as satisfying as a Souls game, probably not as hard, but still a decent challenge, which is rare in Metroidvania games these days. But the real surprise is that it is also a great Metroidvania game. It follows all the rules: One big unified map, areas locked behind new abilities and locked doors, backtracking, shortcuts, all of that with the combat and leveling system find in the souls game translated beautifully to a 2D platform game.The combat has that Souls heft, and weapons really do work differently. Just like Souls, you can create your heavy armored mage, or light armored heavy hammer fighter, etc... New Game + is part of the deal as well. The main game is quite long too, especially generous considering this is a game made by a small indie studio and retails for 17.99. A bargain if you asked me, because it offers really great value for that price. I know I will be revisiting this game often and it's now part of a select group of games that are for me part of the pinnacle of the Metroidvania genre: Symphony of the Night, Super Metroid, Guacamelee!, Metroid Fusion, Order of Ecclesia, and Dawn/Aria of Sorrow."
Nioh,PlayStation4,4,"I have never played a Dark Souls game before so this seemed like a good chance to not only play a Dark Souls clone but a very well made Dark Souls clone. Except this one is based a little more in reality because the setting is Shogun Japan rather than Emo Edgelord.I also learned that I don’t like this Genre because it’s just not for me. There is a steep learning curve that I justI have never played a Dark Souls game before so this seemed like a good chance to not only play a Dark Souls clone but a very well made Dark Souls clone. Except this one is based a little more in reality because the setting is Shogun Japan rather than Emo Edgelord.I also learned that I don’t like this Genre because it’s just not for me. There is a steep learning curve that I just wasn’t willing to put the time in. For two major reasons, one I don’t like Stamina meters. It’s not really where I want to mash buttons but I prefer to block and be patient but the game punishes you for blocking or dashing or attacking by lowering your stamina for everything. To me, the game felt less like playing a game for fun and more meter management.From what it seems, its a very well received game but its just not for me. I’m glad that I’m trying all of these games and learning what I like and don’t like. This is an RPG but its a very specific RPG that just doesn’t fit the way that I play games."
Uncharted 4: A Thief's End,PlayStation4,10,"I'm giving this a 10, not only because Metacritic is so obviously full of trolls and fanboys it's not even funny. NaughtyDog poured their heart and souls into this game, and every second of it shows, from the character development, to the story telling, to the voice acting, to the puzzles, to the graphics, to the shooting, to the driving, the locations, to the animations, to the genius ofI'm giving this a 10, not only because Metacritic is so obviously full of trolls and fanboys it's not even funny. NaughtyDog poured their heart and souls into this game, and every second of it shows, from the character development, to the story telling, to the voice acting, to the puzzles, to the graphics, to the shooting, to the driving, the locations, to the animations, to the genius of the trophies, to the surprisingly livid and fulfilling world brought to life. Literally every aspect of this game was either perfect or near perfect, and the haters and trolls can go cry on their keyboards and Xbox controllers."
Horizon Zero Dawn,PlayStation4,10,"I had a lot of fun playing this game, roaming around in its gorgeous environments and attacking the variety of different machines and their weak points with the weapons available is very satisfying. One of the best games I've played this generation, 10/10"
Trine 2: Complete Story,PlayStation4,10,"I loved this game! Great environments, cool characters, platforming, leveling and cool enemies. I really did enjoy this game alot! If you like puzzle/platformers then buy this!"
Injustice 2,PlayStation4,10,"Injustice 2 is one of the best fighting games that I have ever played. The game takes every element of the first game and improves it. Like the first game, the story mode is pretty interesting while there are over 25 DC characters to choose. The graphics and gameplay are amazing. Each hero has his/her own unique moves while there are some new ones added too. The gear mode works pefectlyInjustice 2 is one of the best fighting games that I have ever played. The game takes every element of the first game and improves it. Like the first game, the story mode is pretty interesting while there are over 25 DC characters to choose. The graphics and gameplay are amazing. Each hero has his/her own unique moves while there are some new ones added too. The gear mode works pefectly too. In general, the game has lots of depth while it's highly replayable. If you are a fan of fighting games or DC, this game is for you. If you are a fan of both, you will LOVE it! If not, give it a try, it won't disappoint you!"
