Title,Platform,Userscore,Comment
Xenoblade Chronicles X,WiiU,10,"El mejor JRPG que he jugado en los ultimos 10 años, precioso, profundo, las mecanicas del combate muy fluido, dificultad muy variada, los skells son increibles, las misiones secundarias van de la mano para alargar el juego, es increible"
The Legend of Zelda: The Wind Waker HD,WiiU,9,"As an improvement on the original, Wind Waker HD offers Wind Waker with a little extra oomph.Controls are the standard of most Zelda games and with the addition of counter move in this game the combat is fluid and fun. The adaption of the pad's gyroscope allows for a more direct experience with certain items that allows the player to be more involved and works very well. Of course, theAs an improvement on the original, Wind Waker HD offers Wind Waker with a little extra oomph.Controls are the standard of most Zelda games and with the addition of counter move in this game the combat is fluid and fun. The adaption of the pad's gyroscope allows for a more direct experience with certain items that allows the player to be more involved and works very well. Of course, the player can choose to play the game in the original format which is always a plus.Wind Waker's world is massive and I mean massive. It's a gorgeous world to be explored but its sheer size means most of the map is empty with maybe a treasure here or there with most of it being rupees. That being said, one of the biggest problems was sailing was tedious if you wanted to explore in the original but this new one fixes it by offering a special item that cuts travel time quickly and allows the world to be explored more efficiently. Another improvement is the game's flow, modifications to a certain aspect of the game allows for the experience to feel more fluid and less choppy near the end. With these improvements, Wind Waker HD is without a doubt one of the best Zeldas.Also I just love the art style, it's very charming."
Splatoon,WiiU,10,"Es un juego novedoso y extremadamente divertido y adictivo, no puedes parar de jugar. Lo mejor es que, apesar de ser juego de disparos, no tienes que matar para ganar, sino pintar a diestra y siniestra para ganar la partida. Lo recomiendo muchísimo."
Mario Kart 8 DLC Pack 1,WiiU,8,"Great DLC, especially for the price. The tracks are great! My only complaint is the characters; would have rather seen Link, Zelda, and Ganondorf as the three new characters rather than yet another version Mario and Peach.There are already too many versions of Mario and Peach in the game before this too! Why do we need silver and gold versions of these characters? Or baby versions?Great DLC, especially for the price. The tracks are great! My only complaint is the characters; would have rather seen Link, Zelda, and Ganondorf as the three new characters rather than yet another version Mario and Peach.There are already too many versions of Mario and Peach in the game before this too! Why do we need silver and gold versions of these characters? Or baby versions? They should have done it like Yoshi/Shy Guy colors and just give the users options to select from when using Mario or Peach, rather than make all of these versions of them be separate characters.Disappointed with the lack of effort on the characters, especially on a Zelda-themed DLC when there are plenty of characters from the Zelda series to include instead (such as Zelda herself!). So -1 point for each of the bad characters that were included = 8 OVR."
Super Smash Bros. for Wii U,WiiU,10,SANIC THE HEDGEHORG IS IN IT 10/10 GAME SPOT 2014 jgfjhesghbf bnvjahgbhafbadhfvjhavkfafbafkjbkjabfjawjbfajkwbfja    GG no re game of the century better then sanic boom but barley because we all know that sanic explosion is the most sublime game ever created
Super Mario 3D World,WiiU,10,"This by far the best mario game in my opinion (yes even better than super mario galaxy 1, 2 and 64). Everything about this game is perfect. The jazzy music is nice to hear. Also, there are over 100 levels to explore. In addition, the graphics are so good. Last but not least, the levels are so colourful and memorable. Each level is cleverly designed and has something differemt to offer.This by far the best mario game in my opinion (yes even better than super mario galaxy 1, 2 and 64). Everything about this game is perfect. The jazzy music is nice to hear. Also, there are over 100 levels to explore. In addition, the graphics are so good. Last but not least, the levels are so colourful and memorable. Each level is cleverly designed and has something differemt to offer. Many people will think that it is just another similar mario game, but no you are wrong. If you have a wii u then you should definitely buy this game. It is one the best games that this amazing console has to offer."
Donkey Kong Country: Tropical Freeze,WiiU,10,"DKCTF is challenging, beautiful and its controls are nigh perfect. Level design is among the best, most intricate and imaginative in any platformer. The soundtrack is easily one of the best in any game done by the legendary David Wise who have many iconic video game music tracks under his belt and he's the original composer of DKC series in the 90's.  The boss battles are the best in theDKCTF is challenging, beautiful and its controls are nigh perfect. Level design is among the best, most intricate and imaginative in any platformer. The soundtrack is easily one of the best in any game done by the legendary David Wise who have many iconic video game music tracks under his belt and he's the original composer of DKC series in the 90's.  The boss battles are the best in the series and the replay value is over the roof and the game is priced at 50$,  suffice it to say that you'll get more than your money's worth if you buy this game. Highly recommended, go buy it, you'll never regret."
Super Mario 3D World,WiiU,10,"I was very underwhelmed by 3D Land, and after seeing the first trailer for this game, it looked like a rather dull sequel. Fortunately, this couldn't be less true. This game takes the 3D Land concept and makes enormous improvements in every area. 3D Land's one new power up (the Boomerang Suit) has been replaced by about a dozen new ones here. With the Cat Suit, Double Cherry, Cannon Box,I was very underwhelmed by 3D Land, and after seeing the first trailer for this game, it looked like a rather dull sequel. Fortunately, this couldn't be less true. This game takes the 3D Land concept and makes enormous improvements in every area. 3D Land's one new power up (the Boomerang Suit) has been replaced by about a dozen new ones here. With the Cat Suit, Double Cherry, Cannon Box, Goomba Hat, and more, it feels like there's a new power up almost every level. The amount of variety here is insane - whereas 3D Land got boring and repetitive after awhile, every level in this game is fresh and completely different from the previous levels. This is the culmination of the best elements of New Super Mario Bros, 3D Land, and Mario Galaxy, with some brilliant original ideas and great new power ups as well. On top of all that, there's beautiful HD visuals, an excellent and completely original soundtrack, and the incredibly fun addition of 4-player multiplayer, which surprisingly works better here than in 2D Mario.While it doesn't quite reach the incredible standard set by Mario Galaxy, this is still one of the most fun 3D platformers I've ever played and easily the best game of 2013."
FAST Racing NEO,WiiU,9,"FAST Racing NEO is very close to perfection, it is how F-Zero Wii U should look like :) I'm just curious why Nintendo didn't provide F-Zero brand for this amazing fast racing game. In conclusionFAST Racing NEO is must have game for almost Wii U owners especially for such miserable price.Peace :)"
Shovel Knight,WiiU,9,"It's a new NES games, on Wii U. It's amazing, play this game now. The sprite arts awesome, and the music makes some Megaman games music look meh at best."
